"","SalesID","DisplayName","CompanyID","CoShortName","LeadName","GradeID","LastGradeID","WinRate","OpenDate","LastContactDate","LastWorkDescription"
"911",83,"郭采帆(Chloe)",636,"麗臺LEADTEK-TP","麗臺#8D52","C","C",10,"2022-04-19","2022-04-19","Time:13:30
1. Item + price：FH34SRJ-20S-0.5SH(50) 
2. Application + 產業別: panel for 運動手環
3. End User:  OBM
4. PP時間、金額：2022Q4
5. MP時間、金額：2023Q1      
""拜訪內容
拜訪RD Rory, 了解此新model: 8D52 預計5月初會先安排打樣20套, FH34SRJ-20S-0.5SH(50) 20套樣品今日已提供, 目前售價部分暫定會在2000左右, 報價部分會在向HRS申請後提供"
"912",83,"郭采帆(Chloe)",636,"麗臺LEADTEK-TP","麗臺#8Z81(生物分子分析儀)","C","C",10,"2022-04-13","2022-06-08","Time:13:30
1. Item + price：FH34SRJ-6S-0.5SH(50) & DF3A-3P-2DS
2. Application + 產業別: 生物分子分析儀
3. End User:  OBM
4. PP時間、金額：2022Q4
5. MP時間、金額：2023Q1      
""拜訪內容
拜訪RD Albert, 了解5月底已先安排打樣50套, 6月底會安排整機測試, 另DF3A-3P-2DS 2K訂單已於這周安排出貨, 此款會在提供麗臺料號, 請我司提供承認文件, FH34SRJ-6S-0.5SH(50)此款目前尚有庫存, 會在確認後續測試結果, 並請業務確認需求後, 提供後續需求訂單"
"913",83,"郭采帆(Chloe)",636,"麗臺LEADTEK-TP","麗臺#FH28D-30S","C","C",10,"2015-04-21","2022-06-16","Time:13:30
1. Item + price：CX90MWD2-24P
2. Application + 產業別：醫療產品			
3. End User:  JP					
4. PP時間、金額：2023Q1					
5. MP時間、金額：2023Q3    FC: 5K			
拜訪RD 小羊, 提供CX90B-16P 10pcs樣品, 此款非防水, 但為 SMT 板上型 16PIN, 此款目前是較多人使用, 價格上較有優勢, 小羊會在與機構討論後, 告知後續會使用哪一款(CX90MWD2-24P & CX90B-16P ) , 另one action lock FH63S-20S-0.5SH 5PCS樣品予其確認, 其確認後layout太大(因無12PIN)且FPC 金手指部分較為特殊, 建議使用一般FPC connector FH34SRJ-12S-0.5SH(50), 小羊會在與機構討論後告知"
"914",83,"郭采帆(Chloe)",636,"麗臺LEADTEK-TP","麗臺#降噪耳機充電艙","B","B",10,"2021-10-20","2022-03-29","Time:15:30
1. Item + price：FH34SRJ-12S-0.5SH(50) & BM23FR0.6-8DP-0.35V(51) & BM23FR0.6-8DS-0.35V(51)  /  BM28B0.6-6DP/2-0.35V(51) & BM28B0.6-6DS/2-0.35V(51)  
2. Application + 產業別: 降噪耳機充電艙
3. End User:  USA
4. PP時間、金額：2022Q1
5. MP時間、金額：2022Q2  
""拜訪內容
拜訪RD 小羊, FH34SRJ-12S-0.5SH(50) 此款麗臺料號已提供, 會在依其需求提供承認書; 另有關於BM23FR & BM28B for 上下板橋接, 因考量成本因素目前暫不使用, 此規格已有建立在其系統, 後續新案有需求會再提供麗臺料號, 請我司提供承認資料; 另semitec FT系列其已將資料提供其機構參考, 另提供semitec產品目錄, 待後續設計板確認, 會再請我司提供樣品"
"915",83,"郭采帆(Chloe)",636,"麗臺LEADTEK-TP","麗臺#血氧機","D","D",10,"2022-02-15","2022-05-11","Time:13:30
1. Item + price：FH34SRJ-16S-0.5SH(50) 
2. Application + 產業別: 血氧機
3. End User:  EUR & USA
4. PP時間、金額：2022Q2
5. MP時間、金額：2022Q3  
""拜訪內容
拜訪RD 郭加仁, 提供FH34SRJ-16S-0.5SH(50) 20pcs樣品, 了解因變更設計, 所以原使用FH34SRJ-12S-0.5SH(50) 要增加4pin, 改為使用FH34SRJ-16S-0.5SH(50), 會於下周先安排打樣, 待確認後, 會再請採購提供2k樣品訂單, 後續持續follow進度"
"916",83,"郭采帆(Chloe)",9030,"麗清-TP","麗清#LED","E","E",10,"2015-12-04","2022-05-23","Time: 13:50
1. Item + price：DF59M-1S-H(21)/DF59M-2224PCF/ Semitec CRD
2. Application + 產業別：LED
3. End User：USA & EUR
6. 拜訪內容 :
拜訪RD Leo,提供DF59M-1S-H(21)/DF59M-2224PCF  5套樣品予其核對確認, 詢問目前交期&價格問題, 如確認規格ok, 會再提供T/P給我司參考, 另了解其有確認 semitec CRD (定電流二極體)資料, 如後續新案無使用driver會在請我司提供樣品&報價"
"917",83,"郭采帆(Chloe)",11362,"關於科技","關於#拜訪","C","E",10,"2021-03-17","2022-06-16","Time: 10:30
1. Item + price：CX90B-16P 
2. Application + 產業別：NB IOT module
3. End User: USA
4. PP時間、金額：2022Q4
5. MP時間、金額：2023Q1  C: 50K/M
拜訪PM Zoe, 提供CX90B-16P 30PCS樣品予其打樣確認, 此款在韓國生產, 交期約16-20周, 會在確認後告知後續進度, 另有關造隆水上摩車案, 了解其已在上周將樣品提供造隆確認, 後續需待造隆與終端確認後, 才會進行下一步, 持續追蹤"
"918",83,"郭采帆(Chloe)",10945,"鴻騰","鴻騰#拜訪","E","E",10,"2019-03-21","2022-06-15","Time: 13:30
1. Item + price：FH63S-10S-0.5SH & FH63S-50S-0.5SH
2. Application + 產業別：Meter
3. End User：鴻華電動車Model C (SUV車)
""拜訪內容
拜訪RD 劉文豪 , 提供FH63S-10S-0.5SH & FH63S-50S-0.5SH 各5套樣品留底, 將關承認資料也會在申請後提供, 此案由公信主導, 最晚7月初前會提供foxcoon樣品確認, 後續進度會在持續與公信確認"
"919",83,"郭采帆(Chloe)",10792,"鴻元吉業","鴻元吉業#拜訪","E","E",10,"2018-08-17","2021-11-26","Time: 15:30
1. Item + price：PQ50W
2. Application + 產業別：儀器設備
3. End User： JP
拜訪內容 : 
拜訪RD Gary, 提供HRS FA show邀請函, 介紹PQ50W, 此款較PQ50WT小, 且可用在50pin已內的防水I/O, 另介紹okaya SPD LV series, 安裝到產品上, 就可以防突波, 保護自身的產品, 將先提供資料予其參考"
"920",83,"郭采帆(Chloe)",618,"邁特-TP","邁特#拜訪","D","D",10,"2022-02-23","2022-02-23","Time:15:30
1. Item :U.FL-R-SMT-1(10)
2. Application + 產業別: 智慧安控鑰匙盒
3. End User:  EUR & USA
4. PP時間、金額：2022Q2
5. MP時間、金額：2022Q3  
""拜訪內容
拜訪認識sourcer Queena, 了解其公司除為SMT廠外, 其也有與其他公司合作開發設計(JDM), 目前有一新JDM新案是與樂邦安控(Lubn)一起合作的智慧安控鑰匙盒. 提供U.FL-R-SMT-1(10) 30PCS樣品, 預計6月會有1捲需求, 將會先安排打樣, 並儘快確認後提供訂單"
