"","SalesID","DisplayName","CompanyID","CoShortName","LeadName","GradeID","LastGradeID","WinRate","OpenDate","LastContactDate","LastWorkDescription"
"699",9,"蔡坤庭(Justin)",11396,"?通","?通#","D","D",10,"2021-10-07","2021-10-07","""time:10:00
items: HK-LR-SR2
Application: 毫米波量測儀器
FC: 100 pcs/lot  amount: 8.8萬
內容: 拜訪採購Fenny,此客戶位於竹北,主要設計毫米波量測儀器, 先前OEM case 有被指定使用  HK-LR-SR2 , 告知Fenny此系列屬高頻產品,交期上較長,一定要提早備料, 另外提供HRS microwave test connectory 資料, 因目前RD不對外,故請他轉交其參考."""
"700",9,"蔡坤庭(Justin)",5629,"鑫豪-TP","鑫豪 # X-RAY INSPECTION CAMERA","B","D",10,"2014-10-24","2021-12-02","""time: :13:30
items: items:IX80G-B-10P/ IX30G-B-10S-CV(7.0)
Application：FA Camera
內容:與HRS Jennifer 共同拜訪RD李佩怡,提供上次所推展IX series,提供IX80G-B-10P/ IX30G-B-10S-CV(7.0)樣品,並討論先前HR10-7R-6PA(73)/ HR10-7P-6S(73)狀況,告知交期都要20 weeks以上,因客戶急需30sets,若來不及將先改為Micro USB 來當 power I/O"""
"701",9,"蔡坤庭(Justin)",10978,"鑫創科技","鑫創科技#MD-206D","C","C",10,"2019-05-23","2021-09-29","""time: 13:40
items: FH34SRJ-4S-0.5SH 
Application: TWS
 Project name: MD-206D
PP:2022.02
MP:2022.04
Forecast: 3K~5K/M  amount: NTD: 2萬
內容: 拜訪新 sourcer 許智能, 先前sourcer 已離職, 許'r也介紹負責TWS RD Carey, 除提供上次所需求FH34SRJ-4S-0.5SH樣品,並再介紹HRS 在TWS上可運用產品,小型板對板 : BM23FR (結合力:90N) / BM23PF (結合力:90N)/BM25 (結合力:70N) / BM28 / BM29 及 type C --- CX90 防水type. Carey表示設計時會參考"""
"702",9,"蔡坤庭(Justin)",11427,"躍訊","躍訊#線束廠","D","D",10,"2021-12-27","2021-12-28","""1. Time：13：50 
2. Item + price：GT17VS-6DS-HU GT17VSA-6DS-HU GT17VSNA-6DP-HU GT17VSN-6DP-HU GT17W-6S-HU GT17W-6PP-HU GT17V-6DS-2C GT17VS-6DS-R GT17VS-6DS-SC GT17VS-6DS-5CF  GT17-2428SCF GT17-2428PCF NTD 184 
3. Application + 產業別：線束廠 
4. End User： HINO商用車行車視野輔助系統
5. PP時間：2022/04 
6. MP時間、金額：2022/06、NTD:18.7萬、FCST:1000套/月 
7. 拜訪內容 拜訪江總，先前本來想用特八頭來取代GT17 in line type,降低成本,但似乎是測試沒過,因此又重新回歸詢問GT17 in line type,告知此系列因受到PA66影響,交期需要32 weeks, 且都無庫存,因此若需要小量試產,煩請盡速下樣品單"""
"703",9,"蔡坤庭(Justin)",11438,"鏵鼎","鏵鼎#","D","D",10,"2022-01-21","2022-01-24","""1.time：15:45。 
2.Item+price：DF40C-60DP-0.4V(51)
3.Application+產業別：手持式支付裝置
4.Model: NA
5.PP時間：預計2022.4月、PP數量：50pcs。 
6.MP時間：預計2022.6月、MP數量: 20K/M、MP金額：NT:30萬
內容: 拜訪採購Anita,此客戶是FPC廠,製造生產都在台灣,目前有一case,是運用在手持式支付裝置,使用到DF40C-60DP-0.4V(51),FC:20K/M,告知此系列目前交期很不好,至少要24 weeks,將先申請四月所需50 pcs 樣品,價格部分,請客戶提供最終客戶,以利確認是否有contract price?"""
"704",9,"蔡坤庭(Justin)",6553,"耀崴-TP","耀崴# EM100","B","B",10,"2014-04-07","2022-04-14","""time: 13:40
iterm: FH52-10S-0.5SH/FH52-50S-0.5SH
Project Name: EM100
Application: rearview mirror for automotive electronics
Annual Qty: 15~24K/Y
6.MP時間：預計2022.Q4、MP數量：2K/M、MP金額：NT5.1萬。
內容: 拜訪sourcer Jessie, RD 周'r 追蹤此case狀況 , 原本將在Q2進行PP,此case 主要是for 大陸 VW SUV, 因近期大陸疫情嚴重,加上主動元件有些料況也不理想,因此量產計畫已推延至Q4,告知今年FH52交期非常吃緊,務必要提早備料準備"""
"705",9,"蔡坤庭(Justin)",669,"羅姆-TP","羅姆RR264MP-400TR","A","C",10,"2021-09-16","2021-09-17","""time: 10:45
items: RR264MP-400TR 
enduser: 健和興
內容: 拜訪ROHM 窗口林俊行, 針對在途5.3KK交期進行討論,健和興要望交期: 10/15 --500K, 11/15-- 1.2KK, 12/15:1.2KK  1/15:2.4KK,務必請林'R支持, 且2022 forecast AVG:1.2KK/M , 另外討論車用市場及儲能市場可應用的產品,林'R表示這部分會請示主管, 是否我司可以推展"""
"706",9,"蔡坤庭(Justin)",7651,"醫電鼎眾-TP","醫電鼎眾#X2202","E","E",10,"2015-05-13","2022-03-24","""1.time：10:40 
2.Item+price：BM23FR0.6-12DP-0.35V/ BM23FR0.6-12DS-0.35V/FH34SRJ-32S-0.5SH
3.Application+產業別：工業用內視鏡
4.Model:  X2202
5.PP時間：預計2022.9月、PP數量：20pcs。 
6.MP時間：預計2022.11月、MP數量: 1K /lot、MP金額：NTD:2萬
內容: 拜訪RD Mike,主要設計製造工業用內視鏡,目前已2M為主 (1920x1080), display :FPC 推薦FH34SRJ-32S 目前主要使用Local ( 主要是MOQ 數量問題) 在sensor & control board,找尋12 pin 結合高度空間越小越好,推薦BM23FR0.6-12DP-0.35V/ BM23FR0.6-12DS-0.35V, competitor: Nais,I/O : 是自己客製化開模
semitec: 依客戶需求,先前有使用過Murata,已SMD為主,對應FTseries,會納入參考"""
"707",9,"蔡坤庭(Justin)",11386,"藍海","藍海#FSS","A","D",10,"2021-09-16","2021-12-17","""time: 15:55
items: GT8E-3S-HU GT8B-2428SCF
Project name: FSS;
Application: Vehicle self-security system
End Customer: Ford China;
已量產:  80K/lot amount: NTD: 44.2萬
內容: 拜訪Jon, 把今日所到貨30K 套立即送過去, 此部分也是藍海最後訂單,此case後續將由我司直接與阜鼎交易,目前在途有100K,持續pull in,阜鼎林老闆表示,有pull in 進來的數量,都可隨時出貨,也請林老闆把持續把後面需求量提早下單"""
"708",9,"蔡坤庭(Justin)",11387,"鴻華","鴻華#battery controller / Motor","C","D",10,"2021-09-17","2022-03-11","""1.time：13:10 
2.Item+price： semitec
3.Application+產業別：battery controller 
內容: 拜訪RD 簡'r主要設計 Power 電池部分, 討論NTC運用,目前設計會使用SMD type, 每個battery module會使用1個,都要符合 AEC-Q100,將會詢問Semitec是否有符合,雖目前是使用CATL但為了爭取政府補助,現在與鴻海的D 事業群,已在研發電池.從電芯packing ,module BMS整套Power system,"""
